node_id,lock_name,longitude,latitude
1,秦淮河,118.67,31.97
14,南通,120.84,32.03
27,阜宁,119.60,33.78
40,新沂河,119.29,34.24
2,下坝,119.11,31.31
15,九圩港,120.76,32.05
28,刘庄,120.34,33.17
41,云善,119.29,34.50
3,杨家湾,118.85,31.36
16,海安,120.45,32.55
29,滨海,119.74,34.03
42,善南,119.26,34.46
4,玉带,118.95,32.20
17,吕四,121.59,32.05
30,杨庄,118.95,33.59
43,施桥,119.48,32.34
5,洪蓝,118.97,31.61
18,焦港,120.50,32.11
31,朱码,119.28,33.82
44,邵伯,119.51,32.53
6,谏壁,119.58,32.18
19,宝应,119.33,33.23
32,高良涧,118.85,33.31
45,淮安,119.16,33.47
7,魏村,119.94,31.99
20,运西,119.44,32.77
33,大柳巷,118.16,33.18
46,淮阴,118.97,33.58
8,丹金,119.58,31.79
21,运东,119.46,32.76
34,古泊河,118.80,34.29
47,泗阳,118.71,33.71
9,前黄,120.00,31.58
22,芒稻,119.56,32.42
35,成子河,118.60,33.63
48,刘老涧,118.45,33.83
10,江阴,120.21,31.92
23,樊川,119.69,32.68
36,沙集,118.12,33.90
49,宿迁,118.31,33.99
11,张家港,120.41,31.96
24,盐邵,119.52,32.54
37,刘集,117.93,34.24
50,皂河,118.12,34.07
12,虞山,120.70,31.67
25,口岸,119.88,32.30
38,蔺家坝,117.18,34.41
51,刘山,117.79,34.43
13,杨林,121.25,31.59
26,周山河,119.88,32.44
39,盐灌,119.34,34.13
52,解台,117.39,34.32
