node_id,lock_name,node_type,official_route,macro_corridor,gateway_type,observed_events,route_verified,notes
1,秦淮河,lock,秦淮新河,苏南入江支网,yangtze_gateway,421,1,
2,下坝,lock,芜申线,苏南入江支网,inland_chain,3992,1,
3,杨家湾,lock,芜申线,苏南入江支网,inland_chain,4031,1,
4,玉带,lock,划子河,苏南入江支网,inland_chain,580,1,
5,洪蓝,lock,秦淮河,苏南入江支网,inland_chain,3,1,
6,谏壁,lock,京杭运河苏南段,京杭主通道,yangtze_gateway,8020,1,
7,魏村,lock,德胜河,沿江口门群,yangtze_gateway,8684,1,
8,丹金,lock,丹金溧漕河,苏南入江支网,inland_chain,4467,1,
9,前黄,lock,锡溧漕河,苏南入江支网,inland_chain,12837,1,
10,江阴,lock,锡澄运河,沿江口门群,yangtze_gateway,12837,1,
11,张家港,lock,申张线,沿江口门群,yangtze_gateway,6983,1,
12,虞山,lock,申张线,沿江口门群,yangtze_gateway,3176,1,
13,杨林,lock,杨林塘,沿江口门群,yangtze_gateway,2868,1,
14,南通,lock,通扬线,沿江口门群,yangtze_gateway,2054,1,
15,九圩港,lock,通扬线,通扬—里下河网络,inland_chain,8034,1,
16,海安,lock,通扬线,通扬—里下河网络,inland_chain,3961,1,
17,吕四,lock,汇吕线,通扬—里下河网络,coastal_gateway,1283,1,
18,焦港,lock,连申线,通扬—里下河网络,inland_chain,5351,1,
19,宝应,lock,盐宝线,通扬—里下河网络,inland_chain,416,1,
20,运西,lock,高邮湖/高邮段,通扬—里下河网络,inland_chain,543,1,
21,运东,lock,高东线,通扬—里下河网络,inland_chain,1573,1,
22,芒稻,lock,芒稻河,通扬—里下河网络,inland_chain,2116,1,
23,樊川,lock,盐邵线,通扬—里下河网络,inland_chain,59,1,
24,盐邵,lock,盐邵线,通扬—里下河网络,inland_chain,32,1,
25,口岸,lock,建口线,沿江口门群,yangtze_gateway,3145,1,
26,周山河,lock,周山河,通扬—里下河网络,inland_chain,2516,1,
27,阜宁,lock,小中河（按数据集口径）,盐河—连申—出海网络,inland_chain,487,0,“阜宁”按当前过闸数据集内嵌口径暂归小中河，建议后续再核。
28,刘庄,lock,刘大线,盐河—连申—出海网络,inland_chain,3277,1,
29,滨海,lock,滨海港区疏港航道,盐河—连申—出海网络,coastal_gateway,17,1,
30,杨庄,lock,盐河,盐河—连申—出海网络,inland_chain,3481,1,
31,朱码,lock,盐河,盐河—连申—出海网络,inland_chain,2458,1,
32,高良涧,lock,淮河,淮河—徐宿西北网络,inland_chain,4099,1,
33,大柳巷,lock,柳巷河,淮河—徐宿西北网络,inland_chain,11,1,
34,古泊河,lock,古泊河,淮河—徐宿西北网络,inland_chain,11,0,古泊河航线/节点口径建议后续再核。
35,成子河,lock,成子河,淮河—徐宿西北网络,inland_chain,1428,1,
36,沙集,lock,徐洪河,淮河—徐宿西北网络,inland_chain,251,1,
37,刘集,lock,徐洪河,淮河—徐宿西北网络,inland_chain,289,1,
38,蔺家坝,lock,京杭运河西航线/徐洪河联络,淮河—徐宿西北网络,inland_chain,3312,1,
39,盐灌,lock,连申线,淮河—徐宿西北网络,inland_chain,453,1,
40,新沂河,lock,新沂河,淮河—徐宿西北网络,inland_chain,2171,0,新沂河与沿海/盐河联接关系强，建议后续再核具体口门段。
41,云善,lock,连申线,淮河—徐宿西北网络,inland_chain,1759,1,
42,善南,lock,连申线,淮河—徐宿西北网络,inland_chain,2113,1,
43,施桥,lock,京杭运河苏北段,京杭主通道,inland_chain,10751,1,
44,邵伯,lock,京杭运河苏北段,京杭主通道,inland_chain,10124,1,
45,淮安,lock,京杭运河苏北段,京杭主通道,inland_chain,12053,1,
46,淮阴,lock,京杭运河苏北段,京杭主通道,inland_chain,8715,1,
47,泗阳,lock,京杭运河苏北段,京杭主通道,inland_chain,8859,1,
48,刘老涧,lock,京杭运河苏北段,京杭主通道,inland_chain,10409,1,
49,宿迁,lock,京杭运河苏北段,京杭主通道,inland_chain,10522,1,
50,皂河,lock,京杭运河苏北段,京杭主通道,inland_chain,10660,1,
51,刘山,lock,京杭运河苏北段,京杭主通道,inland_chain,3870,1,
52,解台,lock,京杭运河苏北段,京杭主通道,inland_chain,3571,1,
53,长江干线,virtual_boundary,长江干线,沿江口门群,inland_chain,0,1,虚拟节点；仅用于增广拓扑表示长江干线公共河流接口，不作为观测船闸。
