priority_rank,cur_lock_id,lock_name,PI_l,baseline_wait1_min,uniform_queue_wait1_min,targeted_queue_wait1_min,uniform_queue_delta_wait1_min,targeted_queue_delta_wait1_min,uniform_queue_reduction_min,targeted_queue_reduction_min
1,13,杨林,0.2545544842114276,1360.8372044514113,1360.240131110731,1357.8577179107813,-0.5970733406802964,-2.979486540630063,0.5970733406802964,2.979486540630063
8,14,南通,0.0409258446635618,1048.5226663424776,1048.5226663424776,1048.5226663424776,0.0,0.0,0.0,0.0
4,2,下坝,0.0909682357128675,1041.0085416625163,1041.0085416625163,1041.0085416625163,0.0,0.0,0.0,0.0
6,3,杨家湾,0.0813711665823729,656.9755578291958,654.5628281346382,645.0503314736532,-2.4127296945577115,-11.925226355542655,2.4127296945577115,11.925226355542655
5,44,邵伯,0.0855593761596077,499.47117288292424,499.47117288292424,499.47117288292424,0.0,0.0,0.0,0.0
10,7,魏村,0.032598253596995,285.63236105051163,285.63236105051163,285.63236105051163,0.0,0.0,0.0,0.0
2,12,虞山,0.1092286172320301,189.55080769971158,189.55080769971158,189.55080769971158,0.0,0.0,0.0,0.0
9,17,吕四,0.0336027809062119,188.3662244197922,188.3662244197922,188.3662244197922,0.0,0.0,0.0,0.0
7,8,丹金,0.071197607237255,166.66016519920578,166.66016519920578,166.66016519920578,0.0,0.0,0.0,0.0
3,9,前黄,0.0917021099621807,94.67246610218157,94.67246610218157,94.67246610218157,0.0,0.0,0.0,0.0
